"Timestamp","What is your age?","Gender ?","What was your WASSCE grade ?","What level are you ?","What is your current CGPA ?","How many siblings do you have ?","Do you have access to a laptop or internet ?","Do you join a study group ?","How many hours do you do independent studies ?"
"2022/10/12 2:41:45 pm GMT","23 - 27 years","Female","16 - 20","L 400","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/12 3:31:32 pm GMT","23 - 27 years","Female","16 - 20","L 300","3.5 - 3.0","More than 3","No","Yes","Exactly 2 hours"
"2022/10/12 5:22:41 pm GMT","23 - 27 years","Male","21 - 25","L 300","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/12 5:34:14 pm GMT","28 - 32 years","Female","10 - 15","L 400","3.5 - 3.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/12 7:02:21 pm GMT","18 - 22 years","Male","16 - 20","L 300","3.5 - 3.0","Exactly 3","Yes","No","Less than 2 hours"
"2022/10/14 3:32:31 am GMT","23 - 27 years","Male","10 - 15","L 400","2.9 - 2.5","Exactly 3","Yes","Yes","Exactly 2 hours"
"2022/10/14 3:32:58 am GMT","23 - 27 years","Female","10 - 15","L 300","2.9 - 2.5","Less than 3","Yes","No","More than 2 hours"
"2022/10/14 3:35:12 am GMT","18 - 22 years","Male","6 - 9","L 300","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/14 3:35:41 am GMT","18 - 22 years","Female","16 - 20","L 400","2.4 - 2.0","Less than 3","Yes","No","Exactly 2 hours"
"2022/10/14 3:36:02 am GMT","23 - 27 years","Female","16 - 20","L 400","2.9 - 2.5","More than 3","No","Yes","More than 2 hours"
"2022/10/14 11:06:51 am GMT","18 - 22 years","Male","10 - 15","L 300","3.5 - 3.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/14 11:08:51 am GMT","18 - 22 years","Male","16 - 20","L 300","2.4 - 2.0","More than 3","No","No","Exactly 2 hours"
"2022/10/14 11:10:07 am GMT","18 - 22 years","Male","21 - 25","L 400","2.4 - 2.0","More than 3","Yes","Yes","Less than 2 hours"
"2022/10/14 11:16:00 am GMT","14 - 17 years","Male","10 - 15","L 300","3.5 - 3.0","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/14 11:17:40 am GMT","23 - 27 years","Male","10 - 15","L 400","1.9 - 1.5","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/14 2:06:31 pm GMT","23 - 27 years","Male","10 - 15","L 400","2.4 - 2.0","More than 3","Yes","No","Exactly 2 hours"
"2022/10/14 6:41:31 pm GMT","18 - 22 years","Male","6 - 9","L 300","4.0 - 3.6","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/14 11:10:31 pm GMT","14 - 17 years","Female","10 - 15","L 300","2.9 - 2.5","Less than 3","No","Yes","More than 2 hours"
"2022/10/14 11:11:28 pm GMT","23 - 27 years","Female","26 - 30","L 400","4.0 - 3.6","More than 3","Yes","Yes","More than 2 hours"
"2022/10/14 11:12:09 pm GMT","18 - 22 years","Male","6 - 9","L 400","4.0 - 3.6","Exactly 3","Yes","No","More than 2 hours"
"2022/10/15 4:05:59 am GMT","18 - 22 years","Female","10 - 15","L 300","3.5 - 3.0","More than 3","Yes","Yes","Less than 2 hours"
"2022/10/15 7:11:45 am GMT","23 - 27 years","Female","10 - 15","L 400","2.9 - 2.5","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/15 8:01:36 am GMT","23 - 27 years","Male","6 - 9","L 400","2.9 - 2.5","More than 3","Yes","No","Less than 2 hours"
"2022/10/15 6:15:01 pm GMT","18 - 22 years","Female","10 - 15","L 400","2.9 - 2.5","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/16 9:28:35 am GMT","18 - 22 years","Male","16 - 20","L 400","2.9 - 2.5","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/16 11:09:36 am GMT","18 - 22 years","Female","6 - 9","L 400","3.5 - 3.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/16 11:23:40 pm GMT","23 - 27 years","Male","16 - 20","L 300","2.9 - 2.5","Exactly 3","Yes","Yes","Less than 2 hours"
"2022/10/16 11:24:24 pm GMT","23 - 27 years","Female","10 - 15","L 400","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/16 11:24:49 pm GMT","18 - 22 years","Female","21 - 25","L 300","2.4 - 2.0","More than 3","No","No","Less than 2 hours"
"2022/10/17 11:21:30 am GMT","18 - 22 years","Female","10 - 15","L 300","3.5 - 3.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/17 11:21:56 am GMT","18 - 22 years","Female","21 - 25","L 400","3.5 - 3.0","Less than 3","No","No","More than 2 hours"
"2022/10/17 11:22:31 am GMT","14 - 17 years","Male","16 - 20","L 300","4.0 - 3.6","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/17 11:22:56 am GMT","18 - 22 years","Male","16 - 20","L 300","3.5 - 3.0","Exactly 3","No","Yes","Exactly 2 hours"
"2022/10/17 11:23:52 am GMT","28 - 32 years","Male","21 - 25","L 400","2.9 - 2.5","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/17 11:24:27 am GMT","23 - 27 years","Male","10 - 15","L 400","3.5 - 3.0","Less than 3","No","Yes","Less than 2 hours"
"2022/10/17 11:24:56 am GMT","18 - 22 years","Male","21 - 25","L 300","2.4 - 2.0","More than 3","Yes","Yes","Exactly 2 hours"
"2022/10/17 11:34:01 am GMT","18 - 22 years","Female","10 - 15","L 300","2.9 - 2.5","Exactly 3","No","Yes","Exactly 2 hours"
"2022/10/17 11:34:58 am GMT","23 - 27 years","Male","16 - 20","L 400","4.0 - 3.6","More than 3","Yes","Yes","More than 2 hours"
"2022/10/17 11:35:20 am GMT","23 - 27 years","Male","26 - 30","L 400","2.4 - 2.0","Exactly 3","No","No","Exactly 2 hours"
"2022/10/17 11:35:45 am GMT","18 - 22 years","Female","16 - 20","L 300","2.4 - 2.0","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/17 11:38:55 am GMT","23 - 27 years","Male","10 - 15","L 300","2.9 - 2.5","Exactly 3","No","Yes","Exactly 2 hours"
"2022/10/17 11:41:46 am GMT","18 - 22 years","Female","6 - 9","L 400","4.0 - 3.6","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/17 11:43:25 am GMT","23 - 27 years","Female","16 - 20","L 400","2.4 - 2.0","Exactly 3","Yes","Yes","Exactly 2 hours"
"2022/10/17 11:44:00 am GMT","23 - 27 years","Male","10 - 15","L 300","2.9 - 2.5","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/17 11:44:58 am GMT","18 - 22 years","Female","6 - 9","L 400","3.5 - 3.0","Less than 3","Yes","No","More than 2 hours"
"2022/10/17 11:45:21 am GMT","23 - 27 years","Male","21 - 25","L 400","2.9 - 2.5","Exactly 3","No","Yes","Exactly 2 hours"
"2022/10/17 11:45:41 am GMT","18 - 22 years","Male","6 - 9","L 400","3.5 - 3.0","More than 3","Yes","Yes","Exactly 2 hours"
"2022/10/17 11:46:24 am GMT","23 - 27 years","Male","10 - 15","L 400","2.4 - 2.0","Exactly 3","Yes","No","Less than 2 hours"
"2022/10/17 11:46:31 am GMT","23 - 27 years","Male","10 - 15","L 400","3.5 - 3.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/17 11:46:37 am GMT","23 - 27 years","Male","10 - 15","L 400","1.9 - 1.5","Less than 3","Yes","No","More than 2 hours"
"2022/10/17 11:46:49 am GMT","18 - 22 years","Female","16 - 20","L 400","3.5 - 3.0","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/17 11:47:27 am GMT","23 - 27 years","Female","6 - 9","L 400","2.9 - 2.5","Exactly 3","Maybe","Yes","More than 2 hours"
"2022/10/17 11:47:33 am GMT","18 - 22 years","Male","10 - 15","L 400","3.5 - 3.0","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/17 11:50:54 am GMT","18 - 22 years","Female","16 - 20","L 300","2.9 - 2.5","Exactly 3","Yes","Yes","Exactly 2 hours"
"2022/10/17 11:51:18 am GMT","18 - 22 years","Female","16 - 20","L 300","3.5 - 3.0","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/17 11:51:45 am GMT","23 - 27 years","Male","16 - 20","L 300","2.9 - 2.5","More than 3","No","No","Exactly 2 hours"
"2022/10/17 11:52:10 am GMT","23 - 27 years","Male","10 - 15","L 400","3.5 - 3.0","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/17 11:52:29 am GMT","18 - 22 years","Female","21 - 25","L 300","2.4 - 2.0","More than 3","No","No","Less than 2 hours"
"2022/10/17 11:52:56 am GMT","23 - 27 years","Male","16 - 20","L 400","2.9 - 2.5","Exactly 3","No","Yes","Exactly 2 hours"
"2022/10/18 2:02:04 pm GMT","23 - 27 years","Female","16 - 20","L 400","2.9 - 2.5","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/18 2:03:25 pm GMT","18 - 22 years","Female","6 - 9","L 300","4.0 - 3.6","More than 3","No","Yes","More than 2 hours"
