"Timestamp","What is your age?","Gender ?","What was your WASSCE grade ?","What level are you ?","What is your current CGPA ?","How many siblings do you have ?","Do you have access to a laptop or internet ?","Do you join a study group ?","How many hours do you do independent studies ?"
"2022/10/21 9:02:55 am GMT","23 - 27 years","Male","10 - 15","L 300","2.4 - 2.0","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/21 9:03:21 am GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","More than 3","Yes","Yes","More than 2 hours"
"2022/10/21 9:16:19 am GMT","23 - 27 years","Male","10 - 15","L 300","2.4 - 2.0","Exactly 3","Yes","Yes","Less than 2 hours"
"2022/10/21 9:40:36 am GMT","18 - 22 years","Male","16 - 20","L 300","2.9 - 2.5","Less than 3","Yes","No","Exactly 2 hours"
"2022/10/21 10:18:26 am GMT","18 - 22 years","Female","16 - 20","L 300","2.9 - 2.5","More than 3","Yes","No","More than 2 hours"
"2022/10/21 10:46:24 am GMT","23 - 27 years","Male","10 - 15","L 300","4.0 - 3.6","More than 3","Yes","No","More than 2 hours"
"2022/10/21 12:07:07 pm GMT","23 - 27 years","Male","21 - 25","L 300","2.9 - 2.5","Exactly 3","Yes","No","More than 2 hours"
"2022/10/21 1:02:38 pm GMT","23 - 27 years","Male","10 - 15","L 300","3.5 - 3.0","More than 3","No","No","More than 2 hours"
"2022/10/21 1:22:06 pm GMT","23 - 27 years","Male","10 - 15","L 300","2.4 - 2.0","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/21 2:00:41 pm GMT","23 - 27 years","Male","10 - 15","L 300","3.5 - 3.0","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/21 2:09:16 pm GMT","23 - 27 years","Male","16 - 20","L 300","2.4 - 2.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/21 10:35:59 pm GMT","23 - 27 years","Male","16 - 20","L 300","2.9 - 2.5","Exactly 3","Yes","No","Less than 2 hours"
"2022/10/22 7:34:19 am GMT","23 - 27 years","Male","10 - 15","L 300","2.4 - 2.0","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/22 8:53:44 pm GMT","23 - 27 years","Female","10 - 15","L 400","3.5 - 3.0","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/24 7:17:32 pm GMT","18 - 22 years","Male","21 - 25","L 300","2.4 - 2.0","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/26 11:49:13 pm GMT","18 - 22 years","Male","16 - 20","L 400","2.9 - 2.5","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/26 11:49:48 pm GMT","23 - 27 years","Female","16 - 20","L 400","3.5 - 3.0","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/26 11:50:03 pm GMT","23 - 27 years","Female","21 - 25","L 300","2.9 - 2.5","Exactly 3","No","Yes","More than 2 hours"
"2022/10/26 11:50:22 pm GMT","23 - 27 years","Female","16 - 20","L 300","2.4 - 2.0","More than 3","No","No","Less than 2 hours"
"2022/10/27 12:33:47 am GMT","18 - 22 years","Male","10 - 15","L 400","4.0 - 3.6","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/27 12:36:10 am GMT","14 - 17 years","Female","6 - 9","L 400","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/27 12:36:40 am GMT","18 - 22 years","Female","10 - 15","L 300","3.5 - 3.0","Exactly 3","Yes","Yes","More than 2 hours"
"2022/10/27 12:37:02 am GMT","18 - 22 years","Male","10 - 15","L 400","4.0 - 3.6","More than 3","Maybe","Yes","More than 2 hours"
"2022/10/27 12:37:44 am GMT","23 - 27 years","Male","6 - 9","L 400","4.0 - 3.6","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/27 12:38:03 am GMT","14 - 17 years","Male","10 - 15","L 300","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/27 12:38:26 am GMT","23 - 27 years","Female","10 - 15","L 300","2.9 - 2.5","Less than 3","No","No","Exactly 2 hours"
"2022/10/27 12:38:51 am GMT","23 - 27 years","Female","16 - 20","L 300","2.4 - 2.0","Less than 3","No","No","Exactly 2 hours"
"2022/10/27 12:39:22 am GMT","28 - 32 years","Female","16 - 20","L 400","2.9 - 2.5","Exactly 3","Yes","No","More than 2 hours"
"2022/10/27 12:39:38 am GMT","18 - 22 years","Male","10 - 15","L 300","2.4 - 2.0","Less than 3","No","No","Exactly 2 hours"
"2022/10/27 12:39:57 am GMT","23 - 27 years","Female","6 - 9","L 400","4.0 - 3.6","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/27 12:40:13 am GMT","23 - 27 years","Male","16 - 20","L 400","3.5 - 3.0","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/27 12:40:34 am GMT","18 - 22 years","Male","10 - 15","L 400","2.4 - 2.0","Less than 3","No","No","Less than 2 hours"
"2022/10/27 12:40:59 am GMT","28 - 32 years","Male","21 - 25","L 400","3.5 - 3.0","Exactly 3","No","No","More than 2 hours"
"2022/10/27 12:41:17 am GMT","23 - 27 years","Female","26 - 30","L 300","3.5 - 3.0","Less than 3","Yes","No","Less than 2 hours"
"2022/10/27 12:41:34 am GMT","14 - 17 years","Female","10 - 15","L 400","2.9 - 2.5","Exactly 3","Yes","No","More than 2 hours"
"2022/10/27 12:41:50 am GMT","28 - 32 years","Female","10 - 15","L 300","2.9 - 2.5","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/27 12:42:11 am GMT","14 - 17 years","Male","6 - 9","L 400","4.0 - 3.6","More than 3","Yes","Yes","More than 2 hours"
"2022/10/27 12:42:30 am GMT","18 - 22 years","Male","10 - 15","L 400","2.9 - 2.5","Less than 3","No","No","Exactly 2 hours"
"2022/10/27 12:42:48 am GMT","23 - 27 years","Male","10 - 15","L 400","4.0 - 3.6","Less than 3","Yes","Yes","Exactly 2 hours"
"2022/10/27 12:43:06 am GMT","23 - 27 years","Male","10 - 15","L 400","2.9 - 2.5","More than 3","No","Yes","Less than 2 hours"
"2022/10/27 12:43:22 am GMT","14 - 17 years","Male","6 - 9","L 400","3.5 - 3.0","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/27 12:43:42 am GMT","23 - 27 years","Male","10 - 15","L 400","3.5 - 3.0","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/27 12:43:59 am GMT","23 - 27 years","Male","6 - 9","L 400","4.0 - 3.6","More than 3","Yes","Yes","Less than 2 hours"
"2022/10/27 12:44:18 am GMT","23 - 27 years","Female","16 - 20","L 400","4.0 - 3.6","Less than 3","Yes","Yes","Less than 2 hours"
"2022/10/27 12:44:34 am GMT","23 - 27 years","Female","16 - 20","L 400","2.4 - 2.0","Exactly 3","Yes","No","Less than 2 hours"
"2022/10/27 12:45:05 am GMT","14 - 17 years","Female","6 - 9","L 300","4.0 - 3.6","More than 3","No","No","More than 2 hours"
"2022/10/27 12:45:24 am GMT","18 - 22 years","Male","10 - 15","L 300","2.9 - 2.5","Less than 3","Maybe","No","Exactly 2 hours"
"2022/10/27 12:45:46 am GMT","14 - 17 years","Male","6 - 9","L 400","4.0 - 3.6","Less than 3","Maybe","Yes","More than 2 hours"
"2022/10/27 12:46:03 am GMT","More than 32 years","Male","10 - 15","L 400","3.5 - 3.0","Less than 3","Maybe","Yes","Exactly 2 hours"
"2022/10/27 1:06:33 am GMT","18 - 22 years","Male","6 - 9","L 400","4.0 - 3.6","Less than 3","Yes","Yes","More than 2 hours"
"2022/10/27 1:07:03 am GMT","18 - 22 years","Male","6 - 9","L 300","Below 1.5","More than 3","Maybe","No","More than 2 hours"
"2022/10/27 1:26:22 am GMT","More than 32 years","Female","Above 30","L 300","Below 1.5","More than 3","No","Yes","Less than 2 hours"
"2022/10/27 12:21:37 pm GMT","18 - 22 years","Female","16 - 20","L 300","3.5 - 3.0","More than 3","Yes","Yes","More than 2 hours"
"2022/10/27 2:34:19 pm GMT","23 - 27 years","Male","6 - 9","L 400","3.5 - 3.0","More than 3","Yes","Yes","Exactly 2 hours"
