Age,Gender,wassce grade,level,current CGPA,access to a laptop or internet,study group,time spent on independent studies
64,23 - 27 years,Male,6 - 9,L 400,2.9 - 2.5,Yes,No,Less than 2 hours
65,18 - 22 years,Female,10 - 15,L 400,2.9 - 2.5,Yes,Yes,More than 2 hours
66,18 - 22 years,Male,16 - 20,L 400,2.9 - 2.5,Yes,Yes,Exactly 2 hours
67,18 - 22 years,Female,6 - 9,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
68,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,Yes,Less than 2 hours
69,23 - 27 years,Female,10 - 15,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
70,18 - 22 years,Female,21 - 25,L 300,2.4 - 2.0,No,No,Less than 2 hours
71,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
72,18 - 22 years,Female,21 - 25,L 400,3.5 - 3.0,No,No,More than 2 hours
73,14 - 17 years,Male,16 - 20,L 300,4.0 - 3.6,Yes,Yes,Less than 2 hours
74,18 - 22 years,Male,16 - 20,L 300,3.5 - 3.0,No,Yes,Exactly 2 hours
75,28 - 32 years,Male,21 - 25,L 400,2.9 - 2.5,Yes,Yes,Less than 2 hours
76,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,No,Yes,Less than 2 hours
77,18 - 22 years,Male,21 - 25,L 300,2.4 - 2.0,Yes,Yes,Exactly 2 hours
78,18 - 22 years,Female,10 - 15,L 300,2.9 - 2.5,No,Yes,Exactly 2 hours
79,23 - 27 years,Male,16 - 20,L 400,4.0 - 3.6,Yes,Yes,More than 2 hours
80,23 - 27 years,Male,26 - 30,L 400,2.4 - 2.0,No,No,Exactly 2 hours
81,18 - 22 years,Female,16 - 20,L 300,2.4 - 2.0,Yes,Yes,More than 2 hours
82,23 - 27 years,Male,10 - 15,L 300,2.9 - 2.5,No,Yes,Exactly 2 hours
83,18 - 22 years,Female,6 - 9,L 400,4.0 - 3.6,Yes,Yes,More than 2 hours
84,23 - 27 years,Female,16 - 20,L 400,2.4 - 2.0,Yes,Yes,Exactly 2 hours
85,23 - 27 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,Yes,Exactly 2 hours
86,18 - 22 years,Female,6 - 9,L 400,3.5 - 3.0,Yes,No,More than 2 hours
87,23 - 27 years,Male,21 - 25,L 400,2.9 - 2.5,No,Yes,Exactly 2 hours
88,18 - 22 years,Male,6 - 9,L 400,3.5 - 3.0,Yes,Yes,Exactly 2 hours
89,23 - 27 years,Male,10 - 15,L 400,2.4 - 2.0,Yes,No,Less than 2 hours
90,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
91,23 - 27 years,Male,10 - 15,L 400,1.9 - 1.5,Yes,No,More than 2 hours
92,18 - 22 years,Female,16 - 20,L 400,3.5 - 3.0,Yes,Yes,Exactly 2 hours
93,23 - 27 years,Female,6 - 9,L 400,2.9 - 2.5,Maybe,Yes,More than 2 hours
94,18 - 22 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,Yes,Exactly 2 hours
95,18 - 22 years,Female,16 - 20,L 300,2.9 - 2.5,Yes,Yes,Exactly 2 hours
96,18 - 22 years,Female,16 - 20,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
97,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,No,No,Exactly 2 hours
98,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,Yes,More than 2 hours
99,18 - 22 years,Female,21 - 25,L 300,2.4 - 2.0,No,No,Less than 2 hours
100,23 - 27 years,Male,16 - 20,L 400,2.9 - 2.5,No,Yes,Exactly 2 hours
101,23 - 27 years,Female,16 - 20,L 400,2.9 - 2.5,Yes,Yes,Exactly 2 hours
102,18 - 22 years,Female,6 - 9,L 300,4.0 - 3.6,No,Yes,More than 2 hours
103,18 - 22 years,Female,10 - 15,L 400,3.5 - 3.0,Yes,No,More than 2 hours
104,18 - 22 years,Female,6 - 9,L 300,3.5 - 3.0,Yes,Yes,Less than 2 hours
105,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,No,Less than 2 hours
106,18 - 22 years,Male,16 - 20,L 300,3.5 - 3.0,Yes,No,More than 2 hours
107,18 - 22 years,Female,10 - 15,L 300,2.9 - 2.5,Yes,No,Exactly 2 hours
108,18 - 22 years,Male,16 - 20,L 300,2.4 - 2.0,Yes,Yes,Exactly 2 hours
109,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,No,Yes,Exactly 2 hours
110,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,Yes,No,Less than 2 hours
111,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
112,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Maybe,No,More than 2 hours
113,23 - 27 years,Female,10 - 15,L 300,3.5 - 3.0,Yes,No,Less than 2 hours
114,23 - 27 years,Male,10 - 15,L 300,3.5 - 3.0,Yes,No,More than 2 hours
115,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
116,23 - 27 years,Male,10 - 15,L 300,1.9 - 1.5,No,Yes,More than 2 hours
117,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,No,Less than 2 hours
118,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,No,More than 2 hours
119,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,No,Less than 2 hours
120,18 - 22 years,Female,6 - 9,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
121,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,Yes,Yes,Less than 2 hours
122,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,No,Less than 2 hours
123,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,Yes,No,Exactly 2 hours
124,23 - 27 years,Female,6 - 9,L 400,4.0 - 3.6,Yes,Yes,More than 2 hours
125,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,Yes,Yes,Less than 2 hours
126,18 - 22 years,Male,6 - 9,L 300,3.5 - 3.0,Yes,No,More than 2 hours
127,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,Yes,No,More than 2 hours
128,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
129,23 - 27 years,Female,16 - 20,L 300,2.9 - 2.5,Yes,Yes,Exactly 2 hours
130,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,No,No,More than 2 hours
131,18 - 22 years,Male,16 - 20,L 300,2.4 - 2.0,Yes,No,Less than 2 hours
132,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
133,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,No,More than 2 hours
134,23 - 27 years,Female,16 - 20,L 300,2.9 - 2.5,Yes,Yes,Exactly 2 hours
135,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Yes,Yes,Exactly 2 hours
136,23 - 27 years,Male,16 - 20,L 300,2.4 - 2.0,Yes,Yes,More than 2 hours
137,18 - 22 years,Male,16 - 20,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
138,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,Yes,Exactly 2 hours
139,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Yes,Yes,Less than 2 hours
140,23 - 27 years,Female,16 - 20,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
141,23 - 27 years,Male,21 - 25,L 300,2.4 - 2.0,Yes,Yes,Exactly 2 hours
142,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
143,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,No,Yes,Exactly 2 hours
144,28 - 32 years,Male,10 - 15,L 300,4.0 - 3.6,Yes,Yes,Exactly 2 hours
145,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,Maybe,Yes,More than 2 hours
146,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Yes,No,More than 2 hours
147,18 - 22 years,Male,10 - 15,L 300,1.9 - 1.5,Yes,No,Less than 2 hours
148,23 - 27 years,Male,10 - 15,L 300,4.0 - 3.6,Yes,No,More than 2 hours
149,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,No,No,More than 2 hours
150,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,No,No,More than 2 hours
151,18 - 22 years,Male,16 - 20,L 300,4.0 - 3.6,Yes,Yes,More than 2 hours
152,28 - 32 years,Male,6 - 9,L 300,4.0 - 3.6,Yes,No,More than 2 hours
153,23 - 27 years,Male,21 - 25,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
154,23 - 27 years,Male,10 - 15,L 300,Below 1.5,No,Yes,Exactly 2 hours
155,18 - 22 years,Female,6 - 9,L 300,2.9 - 2.5,Yes,No,More than 2 hours
156,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
157,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,Yes,No,Less than 2 hours
158,18 - 22 years,Male,21 - 25,L 300,2.4 - 2.0,Yes,Yes,Exactly 2 hours
159,23 - 27 years,Male,10 - 15,L 300,3.5 - 3.0,Yes,Yes,Less than 2 hours
160,18 - 22 years,Male,16 - 20,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
161,23 - 27 years,Male,16 - 20,L 300,1.9 - 1.5,Yes,No,Less than 2 hours
162,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,No,More than 2 hours
163,23 - 27 years,Male,6 - 9,L 300,4.0 - 3.6,Yes,Yes,More than 2 hours
164,23 - 27 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
165,23 - 27 years,Female,6 - 9,L 300,4.0 - 3.6,No,No,Exactly 2 hours
166,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,Yes,Yes,Exactly 2 hours
167,23 - 27 years,Male,21 - 25,L 300,2.9 - 2.5,Yes,Yes,Less than 2 hours
168,23 - 27 years,Female,10 - 15,L 400,3.5 - 3.0,Maybe,Yes,More than 2 hours
169,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
170,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Yes,No,Exactly 2 hours
171,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,No,Less than 2 hours
172,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,No,Less than 2 hours
173,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Yes,Yes,More than 2 hours
174,18 - 22 years,Male,6 - 9,L 300,3.5 - 3.0,Yes,Yes,More than 2 hours
175,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Yes,Yes,Exactly 2 hours
